index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
42,7,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,主，教我们祷告,路11：1-13,今天先慢下来。读 路加福音 11:1-13，让“主，教我们祷告”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：抓住“祷告”进入本周。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入,从主日信息进入本周,抓住“祷告”进入本周,学着向父祷告，让祷告进入每天的生活和关系。,祷告｜父｜饶恕,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
43,7,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,周一默想,太6：5-15,读 马太福音 6:5-15 时，先把注意力放在经文的人、行动和张力上。今天特别思想：从主祷文看见祷告首先指向父和祂的国。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见,先看见经文中的人和行动,从主祷文看见祷告首先指向父和祂的国,调整祷告的中心,父｜国｜日用饮食,沿用现有选择区逻辑,我决定今天以______的态度祷告,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
44,7,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,周二省察,雅4：1-3,门徒训练不仅改变行为，也改变里面的动机。读 雅各书 4:1-3，认真面对“从“妄求”看见祷告背后的欲望”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察,先看见自己的真实反应,从“妄求”看见祷告背后的欲望,把自己的真实需要带到主面前,私欲｜求｜妄求,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
45,7,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,周三应用,帖前5：16-18,今天把经文缩小成一个选择。读 帖撒罗尼迦前书 5:16-18，问自己：从常常祷告进入具体生活。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,操练,先找一个今天能做的地方,从常常祷告进入具体生活,把祷告放进一个固定时刻,常常｜喜乐｜祷告,沿用现有选择区逻辑,我决定今天在______上不住祷告,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
46,7,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,周四关系,提前2：1-4,门徒生命一定会影响人与人的相处。读 提摩太前书 2:1-4，问自己：从为万人恳求进入关系。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,代求,先放进一个真实关系,从为万人恳求进入关系,选择一个真实的人持续代求,万人｜代求｜救主,沿用现有选择区逻辑,我决定今天主动为______代求,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
47,7,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,周五行动,可11：22-25,回应就是把领受交在行动里。读 马可福音 11:22-25，思想“从祷告中的饶恕进入关系修复”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,饶恕,先确定今天要走的一步,从祷告中的饶恕进入关系修复,先在主面前放下债，再迈出关系的一步,信｜祷告｜饶恕,沿用现有选择区逻辑,我决定今天在祷告中饶恕______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
48,7,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,回顾本周：主，教我们祷告,诗23：1-6,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：确认一个变化，也确定下一步。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
49,8,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,怜悯，就去做,路10：25-37,今天是新一周的起点。读 路加福音 10:25-37，先观察经文如何把我们带到“怜悯，就去做”。抓住“怜悯”进入本周。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入,从主日信息进入本周,抓住“怜悯”进入本周,看见人的需要，就用怜悯回应，把所听见的活出来。,怜悯｜邻舍｜行,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
50,8,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,周一默想,弥6：6-8,今天不急着得到“正确答案”，而是练习观察。读 弥迦书 6:6-8，留意“从行公义、好怜悯进入每天的选择”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,看见,先看见经文中的人和行动,从行公义、好怜悯进入每天的选择,把属灵生活落到一个具体态度,公义｜怜悯｜谦卑,沿用现有选择区逻辑,我决定今天以______的态度行事,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
51,8,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,周二省察,伯29：11-17,今天从外在经文转向内在生命。读 约伯记 29:11-17，诚实面对：从约伯帮助困苦人的经历看见怜悯的具体形状。不要先解释自己，也不要急着定罪自己。试着辨认这个反应背后更深的欲望、惧怕、骄傲或不信。省察不是自责，而是在神面前停止遮掩，愿意让主触碰真实的自己。,,省察,先看见自己的真实反应,从约伯帮助困苦人的经历看见怜悯的具体形状,辨认自己忽略的人,公义｜拯救｜困苦人,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
52,8,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,周三应用,太25：31-40,今天让“知道”变成“去做”。读 马太福音 25:31-40，思考“从绵羊与山羊的比喻看见爱需要实际行动”在你的现实处境中最小的下一步是什么。把行动限定在十分钟左右，越具体越好。做完后记下一句话：我做了什么？有什么阻力？主让我看见什么？,,行动,先找一个今天能做的地方,从绵羊与山羊的比喻看见爱需要实际行动,选一个真实需要马上回应,弟兄｜怜悯｜行,沿用现有选择区逻辑,我决定今天______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
53,8,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,周四关系,雅2：14-17,今天观察自己怎样对待别人，也让经文重新整理这种关系。读 雅各书 2:14-17，围绕“从“信心没有行为是死的”进入具体帮助”作一个具体决定。找一个人，主动走近一步；可以是一句话、一次倾听、一次帮助或一次代祷。真实关系中的小小顺服，就是门徒训练的一部分。,,帮助,先放进一个真实关系,从“信心没有行为是死的”进入具体帮助,让信心变成一个看得见的行动,信心｜行为｜帮助,沿用现有选择区逻辑,我决定今天主动帮助______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
54,8,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,周五行动,路6：27-36,今天来到回应与承担。读 路加福音 6:27-36，问自己：从爱仇敌、善待人进入更深的怜悯。把信仰从个人感受带向一个具体的人、一项责任或一个见证行动。不要追求被看见，只求忠心。完成之后写下发生了什么，让你自己的行动成为一个可以被回顾、也可以被分享的见证。,,爱仇敌,先确定今天要走的一步,从爱仇敌、善待人进入更深的怜悯,不等对方改变，先走出自己的回应,爱仇敌｜善待｜怜悯,沿用现有选择区逻辑,我决定今天对______显出善意,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
55,8,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,怜悯，就去做,回顾本周：怜悯，就去做,诗23：1-6,读 诗篇 23:1-6，安静回看这七天的经历：哪些地方有顺服，哪些地方仍在挣扎，哪里看见神的带领？特别思考“确认一个变化，也确定下一步”。今天把本周浓缩成“一个看见、一个行动、一个下一步”，让回顾成为继续跟随的桥梁。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
56,9,主日,主日信息入口,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,你的财宝在哪里？,路12：13-34,今天把经文放在心里，也把自己放在经文面前。读 路加福音 12:13-34，围绕“你的财宝在哪里？”安静片刻，思想：留意主怎样带你从认识走向跟随。。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“把财宝放在哪里”,先不急着回答，把主日经文放进你的生活：把财宝放在哪里。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“把财宝放在哪里”。,你的财宝在哪｜今天最触动你｜的是什么｜财富,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在把财宝放在哪里上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
57,9,周一,拓宽眼界,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,周一默想,传5：8-12,今天先学习看见。读 传道书 5:8-12，不要急着批评或解决问题，留意经文让你看见什么：再问自己：我今天在哪里正在经历同样的事？（经文：你的财宝在哪里？ · 周一默想）。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,看见｜先看见经文与自己的处境,经文怎样让我看见“观察财富带来的安全感与不安”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：你的财宝在哪里？ · 周一默想）,今天先看见，不急着改变；留意“观察财富带来的安全感与不安”在我的选择、情绪或习惯中如何出现。,你的财宝在哪｜周一默想｜你所积攒的能｜真正满足你吗,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“观察财富带来的安全感与不安”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
58,9,周二,深入省察,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,周二省察,提前6：6-10,今天给自己几分钟安静。读 提摩太前书 6:6-10，把经文所揭开的张力带回心里：不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,省察｜先面对里面真实的反应,我为什么会在“分辨贪恋与知足”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“分辨贪恋与知足”的内在反应，不用属灵话语遮盖它。,你的财宝在哪｜周二省察｜你是否有｜贪恋钱财,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“分辨贪恋与知足”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
59,9,周三,生活应用,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,周三应用,太6：19-24,不要等到条件完美才回应经文。读 马太福音 6:19-24，找出一个可以立即开始的动作，回应“不要追求大改变，只走清楚的一步。”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“让心从积攒转向天国”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“让心从积攒转向天国”放进一个具体决定，用一个小行动回应经文。,你的财宝在哪｜周三应用｜今天你需要在｜哪些方面调整,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“让心从积攒转向天国”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
60,9,周四,关系实践,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,周四关系,可12：41-44,今天把跟随带进一个人的名字。读 马可福音 12:41-44，思想：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“在资源上练习慷慨”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“在资源上练习慷慨”发生在一个真实关系里，而不是停留在个人感受中。,你的财宝在哪｜周四关系｜今天你可以像｜穷寡妇一样奉,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“在资源上练习慷慨”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
61,9,周五,行动承诺,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,周五行动,林后9：6-15,今天的重点不是再多懂一点，而是愿意承担一步。读 哥林多后书 9:6-15，把“用实际行动回应主的差遣。”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,回应｜从跟随走向见证与承担,如果我真的相信“用奉献表达信靠”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“用奉献表达信靠”正在改变我。,你的财宝在哪｜周五行动｜今天你可以乐｜捐在哪里,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“用奉献表达信靠”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
62,9,周六,轻回顾,模块2｜跟随基督,从认识进入回应、操练与跟随,你的财宝在哪里？,回顾本周：你的财宝在哪里？,诗23：1-6,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾本周对财物的改变”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾本周对财物的改变”，辨认神的工作与下一步。,回顾本周｜你的财宝在哪｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“你的财宝在哪里？”。回顾“把财宝放在哪里—回顾本周对财物的改变”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
63,10,主日,主日信息入口,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,神国里的座位,路14：7-24,今天先慢下来。读 路加福音 14:7-24，让“神国里的座位”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：留意主怎样带你从认识走向跟随。。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“在神国里重新看位置”,先不急着回答，把主日经文放进你的生活：在神国里重新看位置。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“在神国里重新看位置”。,神国里的座位｜今天最触动你｜的是什么｜座位,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在在神国里重新看位置上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
64,10,周一,拓宽眼界,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,周一默想,箴25：6-7,读 箴言 25:6-7 时，先把注意力放在经文的人、行动和张力上。今天特别思想：再问自己：我今天在哪里正在经历同样的事？（经文：神国里的座位 · 周一默想）。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见｜先看见经文与自己的处境,经文怎样让我看见“学习不抢先、不高抬自己”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：神国里的座位 · 周一默想）,今天先看见，不急着改变；留意“学习不抢先、不高抬自己”在我的选择、情绪或习惯中如何出现。,神国里的座位｜周一默想｜在神国里｜坐在末位,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“学习不抢先、不高抬自己”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
65,10,周二,深入省察,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,周二省察,太20：20-28,门徒训练不仅改变行为，也改变里面的动机。读 马太福音 20:20-28，认真面对“不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察｜先面对里面真实的反应,我为什么会在“省察对地位与认可的渴望”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“省察对地位与认可的渴望”的内在反应，不用属灵话语遮盖它。,神国里的座位｜周二省察｜你是否有｜坐在左右,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“省察对地位与认可的渴望”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
66,10,周三,生活应用,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,周三应用,路14：25-33,今天把经文缩小成一个选择。读 路加福音 14:25-33，问自己：不要追求大改变，只走清楚的一步。。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“在选择中优先跟随基督”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“在选择中优先跟随基督”放进一个具体决定，用一个小行动回应经文。,神国里的座位｜周三应用｜今天你需要在｜哪个领域,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“在选择中优先跟随基督”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
67,10,周四,关系实践,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,周四关系,罗12：9-16,门徒生命一定会影响人与人的相处。读 罗马书 12:9-16，问自己：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“在关系中彼此尊重、推让”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“在关系中彼此尊重、推让”发生在一个真实关系里，而不是停留在个人感受中。,神国里的座位｜周四关系｜今天你可以怎｜彼此推让,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“在关系中彼此尊重、推让”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
68,10,周五,行动承诺,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,周五行动,约13：12-17,回应就是把领受交在行动里。读 约翰福音 13:12-17，思想“用实际行动回应主的差遣。”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,回应｜从跟随走向见证与承担,如果我真的相信“主动做一件不求被看见的服事”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“主动做一件不求被看见的服事”正在改变我。,神国里的座位｜周五行动｜今天你可以为｜洗脚,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“主动做一件不求被看见的服事”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
69,10,周六,轻回顾,模块2｜跟随基督,从认识进入回应、操练与跟随,神国里的座位,回顾本周：神国里的座位,诗23：1-6,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾自己是否更愿意在末位跟随”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾自己是否更愿意在末位跟随”，辨认神的工作与下一步。,回顾本周｜神国里的座位｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“神国里的座位”。回顾“在神国里重新看位置—回顾自己是否更愿意在末位跟随”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
70,11,主日,主日信息入口,模块2｜跟随基督,从认识进入回应、操练与跟随,你事奉谁？,你事奉谁？,路16：1-13,今天是新一周的起点。读 路加福音 16:1-13，先观察经文如何把我们带到“你事奉谁？”。留意主怎样带你从认识走向跟随。。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“确认真正的主人”,先不急着回答，把主日经文放进你的生活：确认真正的主人。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“确认真正的主人”。,你事奉谁｜今天最触动你｜的是什么｜主人,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在确认真正的主人上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
71,11,周一,拓宽眼界,模块2｜跟随基督,从认识进入回应、操练与跟随,你事奉谁？,周一默想,书24：14-18,今天不急着得到“正确答案”，而是练习观察。读 约书亚记 24:14-18，留意“再问自己：我今天在哪里正在经历同样的事？（经文：你事奉谁？ · 周一默想）”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,看见｜先看见经文与自己的处境,经文怎样让我看见“辨认心中同时服事两个主的倾向”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：你事奉谁？ · 周一默想）,今天先看见，不急着改变；留意“辨认心中同时服事两个主的倾向”在我的选择、情绪或习惯中如何出现。,你事奉谁｜周一默想｜今天你选择事｜奉谁,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“辨认心中同时服事两个主的倾向”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
